step,actual_price,forecast_price,residual_error,abs_error,timestamp
1595,14.12,15.7513,1.6313,1.6313,2025-03-15 11:00:00
1596,19.58,20.8821,1.3021,1.3021,2025-03-15 12:00:00
1597,20.5,21.5965,1.0965,1.0965,2025-03-15 13:00:00
1598,30.62,35.0644,4.4444,4.4444,2025-03-15 14:00:00
1599,27.34,25.171,-2.169,2.169,2025-03-15 15:00:00
1600,30.5,30.8627,0.3627,0.3627,2025-03-15 16:00:00
1601,33.64,36.9717,3.3317,3.3317,2025-03-15 17:00:00
1602,33.96,37.6213,3.6613,3.6613,2025-03-15 18:00:00
1603,39.09,36.0356,-3.0544,3.0544,2025-03-15 19:00:00
1604,33.64,33.3591,-0.2809,0.2809,2025-03-15 20:00:00
1605,137.16,141.0553,3.8953,3.8953,2025-03-15 21:00:00
1606,32.0,33.7702,1.7702,1.7702,2025-03-15 22:00:00
1607,28.96,29.9482,0.9882,0.9882,2025-03-15 23:00:00
1608,28.64,28.5958,-0.0442,0.0442,2025-03-16 00:00:00
1609,27.66,27.2005,-0.4595,0.4595,2025-03-16 01:00:00
1610,24.09,25.3105,1.2205,1.2205,2025-03-16 02:00:00
1611,20.85,20.7191,-0.1309,0.1309,2025-03-16 03:00:00
1612,16.65,17.0436,0.3936,0.3936,2025-03-16 04:00:00
1613,17.89,18.5865,0.6965,0.6965,2025-03-16 05:00:00
1614,12.75,11.5548,-1.1952,1.1952,2025-03-16 06:00:00
1615,17.41,19.2403,1.8303,1.8303,2025-03-16 07:00:00
1616,75.35,83.1356,7.7856,7.7856,2025-03-16 08:00:00
1617,11.86,7.9175,-3.9425,3.9425,2025-03-16 09:00:00
1618,15.73,17.04,1.31,1.31,2025-03-16 10:00:00
1619,16.22,14.8195,-1.4005,1.4005,2025-03-16 11:00:00
1620,20.97,22.9135,1.9435,1.9435,2025-03-16 12:00:00
1621,25.93,26.5464,0.6164,0.6164,2025-03-16 13:00:00
1622,20.48,22.8846,2.4046,2.4046,2025-03-16 14:00:00
1623,28.04,31.4788,3.4388,3.4388,2025-03-16 15:00:00
1624,29.77,30.7511,0.9811,0.9811,2025-03-16 16:00:00
1625,33.92,37.2501,3.3301,3.3301,2025-03-16 17:00:00
1626,34.36,28.9993,-5.3607,5.3607,2025-03-16 18:00:00
1627,32.95,37.4261,4.4761,4.4761,2025-03-16 19:00:00
1628,34.37,35.8077,1.4377,1.4377,2025-03-16 20:00:00
1629,32.84,36.0346,3.1946,3.1946,2025-03-16 21:00:00
1630,36.52,33.9703,-2.5497,2.5497,2025-03-16 22:00:00
1631,32.29,30.7131,-1.5769,1.5769,2025-03-16 23:00:00
1632,38.9,39.7648,0.8648,0.8648,2025-03-17 00:00:00
1633,31.58,32.0374,0.4574,0.4574,2025-03-17 01:00:00
1634,27.37,28.5777,1.2077,1.2077,2025-03-17 02:00:00
1635,22.77,25.9813,3.2113,3.2113,2025-03-17 03:00:00
1636,19.64,15.7269,-3.9131,3.9131,2025-03-17 04:00:00
1637,18.11,21.0445,2.9345,2.9345,2025-03-17 05:00:00
1638,21.15,21.6707,0.5207,0.5207,2025-03-17 06:00:00
1639,20.76,20.7505,-0.0095,0.0095,2025-03-17 07:00:00
1640,15.19,12.0122,-3.1778,3.1778,2025-03-17 08:00:00
1641,21.72,23.4776,1.7576,1.7576,2025-03-17 09:00:00
1642,19.28,13.7447,-5.5353,5.5353,2025-03-17 10:00:00
1643,22.44,24.561,2.121,2.121,2025-03-17 11:00:00
1644,28.17,24.9397,-3.2303,3.2303,2025-03-17 12:00:00
1645,28.8,29.4336,0.6336,0.6336,2025-03-17 13:00:00
1646,28.47,28.6721,0.2021,0.2021,2025-03-17 14:00:00
1647,29.5,32.9238,3.4238,3.4238,2025-03-17 15:00:00
1648,28.76,28.8134,0.0534,0.0534,2025-03-17 16:00:00
1649,34.42,33.1847,-1.2353,1.2353,2025-03-17 17:00:00
1650,37.28,36.5135,-0.7665,0.7665,2025-03-17 18:00:00
1651,36.34,40.0222,3.6822,3.6822,2025-03-17 19:00:00
1652,38.82,40.6607,1.8407,1.8407,2025-03-17 20:00:00
1653,39.0,38.5359,-0.4641,0.4641,2025-03-17 21:00:00
1654,115.91,115.8189,-0.0911,0.0911,2025-03-17 22:00:00
1655,34.59,31.1721,-3.4179,3.4179,2025-03-17 23:00:00
1656,34.54,36.0112,1.4712,1.4712,2025-03-18 00:00:00
1657,32.82,28.9205,-3.8995,3.8995,2025-03-18 01:00:00
1658,26.4,28.7795,2.3795,2.3795,2025-03-18 02:00:00
1659,30.06,30.8816,0.8216,0.8216,2025-03-18 03:00:00
1660,23.88,30.3474,6.4674,6.4674,2025-03-18 04:00:00
1661,22.1,19.8497,-2.2503,2.2503,2025-03-18 05:00:00
1662,22.23,22.4733,0.2433,0.2433,2025-03-18 06:00:00
1663,20.05,25.0457,4.9957,4.9957,2025-03-18 07:00:00
1664,21.51,24.9885,3.4785,3.4785,2025-03-18 08:00:00
1665,20.18,18.9395,-1.2405,1.2405,2025-03-18 09:00:00
1666,18.93,19.9899,1.0599,1.0599,2025-03-18 10:00:00
1667,22.96,23.465,0.505,0.505,2025-03-18 11:00:00
1668,21.26,22.4649,1.2049,1.2049,2025-03-18 12:00:00
1669,2.52,1.2733,-1.2467,1.2467,2025-03-18 13:00:00
1670,29.04,29.3167,0.2767,0.2767,2025-03-18 14:00:00
1671,31.19,27.6949,-3.4951,3.4951,2025-03-18 15:00:00
1672,33.8,34.6378,0.8378,0.8378,2025-03-18 16:00:00
1673,31.49,33.1151,1.6251,1.6251,2025-03-18 17:00:00
1674,36.41,36.3415,-0.0685,0.0685,2025-03-18 18:00:00
1675,39.01,35.4724,-3.5376,3.5376,2025-03-18 19:00:00
1676,39.52,42.4913,2.9713,2.9713,2025-03-18 20:00:00
1677,36.21,37.6213,1.4113,1.4113,2025-03-18 21:00:00
1678,40.95,39.635,-1.315,1.315,2025-03-18 22:00:00
1679,34.03,33.8285,-0.2015,0.2015,2025-03-18 23:00:00
1680,36.53,33.2783,-3.2517,3.2517,2025-03-19 00:00:00
1681,32.76,30.6965,-2.0635,2.0635,2025-03-19 01:00:00
1682,27.49,26.6455,-0.8445,0.8445,2025-03-19 02:00:00
1683,30.95,34.5211,3.5711,3.5711,2025-03-19 03:00:00
1684,21.12,20.0212,-1.0988,1.0988,2025-03-19 04:00:00
1685,24.33,26.4305,2.1005,2.1005,2025-03-19 05:00:00
1686,22.94,22.0942,-0.8458,0.8458,2025-03-19 06:00:00
1687,17.77,18.8899,1.1199,1.1199,2025-03-19 07:00:00
1688,22.58,22.7265,0.1465,0.1465,2025-03-19 08:00:00
1689,18.82,21.5026,2.6826,2.6826,2025-03-19 09:00:00
1690,21.16,20.323,-0.837,0.837,2025-03-19 10:00:00
1691,22.68,19.2487,-3.4313,3.4313,2025-03-19 11:00:00
1692,23.77,20.8151,-2.9549,2.9549,2025-03-19 12:00:00
1693,28.54,27.7103,-0.8297,0.8297,2025-03-19 13:00:00
1694,31.09,28.4674,-2.6226,2.6226,2025-03-19 14:00:00
1695,27.32,28.8455,1.5255,1.5255,2025-03-19 15:00:00
1696,37.36,36.6956,-0.6644,0.6644,2025-03-19 16:00:00
1697,32.02,38.4565,6.4365,6.4365,2025-03-19 17:00:00
1698,40.34,36.4957,-3.8443,3.8443,2025-03-19 18:00:00
1699,41.58,42.5891,1.0091,1.0091,2025-03-19 19:00:00
1700,36.38,34.0601,-2.3199,2.3199,2025-03-19 20:00:00
1701,37.73,36.9965,-0.7335,0.7335,2025-03-19 21:00:00
1702,35.0,35.8535,0.8535,0.8535,2025-03-19 22:00:00
1703,35.64,30.3266,-5.3134,5.3134,2025-03-19 23:00:00
1704,33.31,34.4021,1.0921,1.0921,2025-03-20 00:00:00
1705,33.62,38.8773,5.2573,5.2573,2025-03-20 01:00:00
1706,32.36,31.7264,-0.6336,0.6336,2025-03-20 02:00:00
1707,29.99,31.1395,1.1495,1.1495,2025-03-20 03:00:00
1708,22.68,25.7423,3.0623,3.0623,2025-03-20 04:00:00
1709,21.49,21.5801,0.0901,0.0901,2025-03-20 05:00:00
1710,16.22,15.2676,-0.9524,0.9524,2025-03-20 06:00:00
1711,17.41,12.2207,-5.1893,5.1893,2025-03-20 07:00:00
1712,21.5,23.6025,2.1025,2.1025,2025-03-20 08:00:00
1713,23.46,23.6771,0.2171,0.2171,2025-03-20 09:00:00
1714,17.34,15.3083,-2.0317,2.0317,2025-03-20 10:00:00
1715,20.53,21.3465,0.8165,0.8165,2025-03-20 11:00:00
1716,24.02,23.0608,-0.9592,0.9592,2025-03-20 12:00:00
1717,27.2,26.3789,-0.8211,0.8211,2025-03-20 13:00:00
1718,85.07,87.0857,2.0157,2.0157,2025-03-20 14:00:00
1719,32.73,29.884,-2.846,2.846,2025-03-20 15:00:00
1720,32.9,36.0183,3.1183,3.1183,2025-03-20 16:00:00
1721,79.19,76.1958,-2.9942,2.9942,2025-03-20 17:00:00
1722,39.11,37.9532,-1.1568,1.1568,2025-03-20 18:00:00
1723,38.76,44.0674,5.3074,5.3074,2025-03-20 19:00:00
1724,37.99,41.3084,3.3184,3.3184,2025-03-20 20:00:00
1725,38.47,39.214,0.744,0.744,2025-03-20 21:00:00
1726,37.52,35.6687,-1.8513,1.8513,2025-03-20 22:00:00
1727,35.23,34.4068,-0.8232,0.8232,2025-03-20 23:00:00
1728,33.42,34.1032,0.6832,0.6832,2025-03-21 00:00:00
1729,35.65,36.2438,0.5938,0.5938,2025-03-21 01:00:00
1730,30.47,30.7428,0.2728,0.2728,2025-03-21 02:00:00
1731,25.74,26.1629,0.4229,0.4229,2025-03-21 03:00:00
1732,25.81,25.7741,-0.0359,0.0359,2025-03-21 04:00:00
1733,21.16,18.0551,-3.1049,3.1049,2025-03-21 05:00:00
1734,23.34,22.5487,-0.7913,0.7913,2025-03-21 06:00:00
1735,20.33,23.1166,2.7866,2.7866,2025-03-21 07:00:00
1736,18.8,15.8792,-2.9208,2.9208,2025-03-21 08:00:00
1737,20.53,20.5561,0.0261,0.0261,2025-03-21 09:00:00
1738,16.48,14.9306,-1.5494,1.5494,2025-03-21 10:00:00
1739,19.18,19.9584,0.7784,0.7784,2025-03-21 11:00:00
1740,21.08,20.6084,-0.4716,0.4716,2025-03-21 12:00:00
1741,26.84,31.0335,4.1935,4.1935,2025-03-21 13:00:00
1742,33.4,35.1665,1.7665,1.7665,2025-03-21 14:00:00
1743,37.23,34.4505,-2.7795,2.7795,2025-03-21 15:00:00
1744,35.66,37.8381,2.1781,2.1781,2025-03-21 16:00:00
1745,37.39,35.9534,-1.4366,1.4366,2025-03-21 17:00:00
1746,76.78,75.8375,-0.9425,0.9425,2025-03-21 18:00:00
1747,67.79,69.0745,1.2845,1.2845,2025-03-21 19:00:00
1748,37.1,36.3706,-0.7294,0.7294,2025-03-21 20:00:00
1749,37.18,39.9121,2.7321,2.7321,2025-03-21 21:00:00
1750,37.31,35.8737,-1.4363,1.4363,2025-03-21 22:00:00
1751,34.96,33.9126,-1.0474,1.0474,2025-03-21 23:00:00
1752,25.11,23.9691,-1.1409,1.1409,2025-03-22 00:00:00
1753,29.51,28.5959,-0.9141,0.9141,2025-03-22 01:00:00
1754,22.37,25.618,3.248,3.248,2025-03-22 02:00:00
1755,23.06,25.132,2.072,2.072,2025-03-22 03:00:00
1756,25.24,30.0149,4.7749,4.7749,2025-03-22 04:00:00
1757,15.68,21.8491,6.1691,6.1691,2025-03-22 05:00:00
1758,10.07,7.9932,-2.0768,2.0768,2025-03-22 06:00:00
1759,14.68,15.356,0.676,0.676,2025-03-22 07:00:00
1760,17.81,15.3695,-2.4405,2.4405,2025-03-22 08:00:00
1761,20.29,18.846,-1.444,1.444,2025-03-22 09:00:00
1762,13.32,12.2448,-1.0752,1.0752,2025-03-22 10:00:00
1763,19.22,17.0771,-2.1429,2.1429,2025-03-22 11:00:00
1764,18.89,16.7603,-2.1297,2.1297,2025-03-22 12:00:00
1765,22.2,22.3393,0.1393,0.1393,2025-03-22 13:00:00
1766,31.66,29.1182,-2.5418,2.5418,2025-03-22 14:00:00
1767,23.88,26.4853,2.6053,2.6053,2025-03-22 15:00:00
1768,30.69,28.8956,-1.7944,1.7944,2025-03-22 16:00:00
1769,33.29,40.8139,7.5239,7.5239,2025-03-22 17:00:00
1770,36.43,35.8015,-0.6285,0.6285,2025-03-22 18:00:00
1771,34.96,35.64,0.68,0.68,2025-03-22 19:00:00
1772,71.65,68.9116,-2.7384,2.7384,2025-03-22 20:00:00
1773,33.73,38.4952,4.7652,4.7652,2025-03-22 21:00:00
1774,34.39,37.6888,3.2988,3.2988,2025-03-22 22:00:00
1775,31.27,32.5123,1.2423,1.2423,2025-03-22 23:00:00
1776,31.59,28.723,-2.867,2.867,2025-03-23 00:00:00
1777,26.7,27.7267,1.0267,1.0267,2025-03-23 01:00:00
1778,25.98,23.6764,-2.3036,2.3036,2025-03-23 02:00:00
1779,22.38,26.5359,4.1559,4.1559,2025-03-23 03:00:00
1780,22.86,25.383,2.523,2.523,2025-03-23 04:00:00
1781,17.84,18.5786,0.7386,0.7386,2025-03-23 05:00:00
1782,11.95,6.3591,-5.5909,5.5909,2025-03-23 06:00:00
1783,18.54,16.5815,-1.9585,1.9585,2025-03-23 07:00:00
1784,12.78,14.9994,2.2194,2.2194,2025-03-23 08:00:00
1785,13.75,17.2822,3.5322,3.5322,2025-03-23 09:00:00
1786,14.89,18.1629,3.2729,3.2729,2025-03-23 10:00:00
1787,21.41,17.93,-3.48,3.48,2025-03-23 11:00:00
1788,14.7,15.9539,1.2539,1.2539,2025-03-23 12:00:00
1789,30.3,33.3388,3.0388,3.0388,2025-03-23 13:00:00
1790,27.68,24.0342,-3.6458,3.6458,2025-03-23 14:00:00
1791,28.19,28.6702,0.4802,0.4802,2025-03-23 15:00:00
1792,29.9,31.0846,1.1846,1.1846,2025-03-23 16:00:00
1793,32.83,32.5781,-0.2519,0.2519,2025-03-23 17:00:00
1794,35.0,30.8696,-4.1304,4.1304,2025-03-23 18:00:00
1795,36.31,35.9958,-0.3142,0.3142,2025-03-23 19:00:00
1796,36.43,36.1117,-0.3183,0.3183,2025-03-23 20:00:00
1797,15.5,15.6298,0.1298,0.1298,2025-03-23 21:00:00
1798,33.21,32.3013,-0.9087,0.9087,2025-03-23 22:00:00
1799,31.73,31.1225,-0.6075,0.6075,2025-03-23 23:00:00
1800,33.54,33.9407,0.4007,0.4007,2025-03-24 00:00:00
1801,34.45,36.0561,1.6061,1.6061,2025-03-24 01:00:00
1802,30.51,30.2489,-0.2611,0.2611,2025-03-24 02:00:00
1803,19.09,18.5659,-0.5241,0.5241,2025-03-24 03:00:00
1804,25.67,26.4009,0.7309,0.7309,2025-03-24 04:00:00
1805,22.45,18.1477,-4.3023,4.3023,2025-03-24 05:00:00
1806,20.32,22.0126,1.6926,1.6926,2025-03-24 06:00:00
1807,18.4,18.8986,0.4986,0.4986,2025-03-24 07:00:00
1808,21.84,22.4392,0.5992,0.5992,2025-03-24 08:00:00
1809,21.74,24.6418,2.9018,2.9018,2025-03-24 09:00:00
1810,18.44,14.058,-4.382,4.382,2025-03-24 10:00:00
1811,22.98,18.5454,-4.4346,4.4346,2025-03-24 11:00:00
1812,21.6,22.7845,1.1845,1.1845,2025-03-24 12:00:00
1813,22.99,23.4722,0.4822,0.4822,2025-03-24 13:00:00
1814,27.46,28.3854,0.9254,0.9254,2025-03-24 14:00:00
1815,33.77,33.1147,-0.6553,0.6553,2025-03-24 15:00:00
1816,36.41,38.5709,2.1609,2.1609,2025-03-24 16:00:00
1817,37.38,40.2116,2.8316,2.8316,2025-03-24 17:00:00
1818,39.5,41.21,1.71,1.71,2025-03-24 18:00:00
1819,39.98,39.8279,-0.1521,0.1521,2025-03-24 19:00:00
1820,37.43,32.6608,-4.7692,4.7692,2025-03-24 20:00:00
1821,39.77,42.1931,2.4231,2.4231,2025-03-24 21:00:00
1822,39.69,43.2443,3.5543,3.5543,2025-03-24 22:00:00
1823,37.99,40.1014,2.1114,2.1114,2025-03-24 23:00:00
1824,36.99,35.2909,-1.6991,1.6991,2025-03-25 00:00:00
1825,33.38,35.5645,2.1845,2.1845,2025-03-25 01:00:00
1826,29.9,32.5513,2.6513,2.6513,2025-03-25 02:00:00
1827,29.11,33.507,4.397,4.397,2025-03-25 03:00:00
1828,23.95,22.2597,-1.6903,1.6903,2025-03-25 04:00:00
1829,19.74,19.6739,-0.0661,0.0661,2025-03-25 05:00:00
1830,19.95,22.3182,2.3682,2.3682,2025-03-25 06:00:00
1831,17.5,18.1435,0.6435,0.6435,2025-03-25 07:00:00
1832,17.33,15.0367,-2.2933,2.2933,2025-03-25 08:00:00
1833,19.0,20.5365,1.5365,1.5365,2025-03-25 09:00:00
1834,18.38,20.3267,1.9467,1.9467,2025-03-25 10:00:00
1835,21.18,21.8999,0.7199,0.7199,2025-03-25 11:00:00
1836,19.29,20.339,1.049,1.049,2025-03-25 12:00:00
1837,26.97,26.8232,-0.1468,0.1468,2025-03-25 13:00:00
1838,29.02,33.2157,4.1957,4.1957,2025-03-25 14:00:00
1839,29.57,27.8183,-1.7517,1.7517,2025-03-25 15:00:00
1840,16.7,15.7317,-0.9683,0.9683,2025-03-25 16:00:00
1841,38.44,38.9675,0.5275,0.5275,2025-03-25 17:00:00
1842,153.33,156.0274,2.6974,2.6974,2025-03-25 18:00:00
1843,36.77,33.5266,-3.2434,3.2434,2025-03-25 19:00:00
1844,37.1,34.3243,-2.7757,2.7757,2025-03-25 20:00:00
1845,36.33,31.7357,-4.5943,4.5943,2025-03-25 21:00:00
1846,39.75,40.3317,0.5817,0.5817,2025-03-25 22:00:00
1847,35.61,33.3142,-2.2958,2.2958,2025-03-25 23:00:00
1848,33.35,32.8886,-0.4614,0.4614,2025-03-26 00:00:00
1849,26.59,28.7434,2.1534,2.1534,2025-03-26 01:00:00
1850,30.6,29.4961,-1.1039,1.1039,2025-03-26 02:00:00
1851,23.33,24.4082,1.0782,1.0782,2025-03-26 03:00:00
1852,24.16,23.9117,-0.2483,0.2483,2025-03-26 04:00:00
1853,22.63,24.8103,2.1803,2.1803,2025-03-26 05:00:00
1854,23.75,25.4378,1.6878,1.6878,2025-03-26 06:00:00
1855,16.08,14.8502,-1.2298,1.2298,2025-03-26 07:00:00
1856,11.46,11.5384,0.0784,0.0784,2025-03-26 08:00:00
1857,19.81,22.9194,3.1094,3.1094,2025-03-26 09:00:00
1858,24.85,26.3334,1.4834,1.4834,2025-03-26 10:00:00
1859,25.04,22.0476,-2.9924,2.9924,2025-03-26 11:00:00
1860,24.54,26.679,2.139,2.139,2025-03-26 12:00:00
1861,25.2,22.9885,-2.2115,2.2115,2025-03-26 13:00:00
1862,31.03,35.0613,4.0313,4.0313,2025-03-26 14:00:00
1863,29.17,32.2302,3.0602,3.0602,2025-03-26 15:00:00
1864,35.2,36.4247,1.2247,1.2247,2025-03-26 16:00:00
1865,37.35,38.2431,0.8931,0.8931,2025-03-26 17:00:00
1866,40.32,40.2974,-0.0226,0.0226,2025-03-26 18:00:00
1867,45.57,47.7663,2.1963,2.1963,2025-03-26 19:00:00
1868,39.99,39.5631,-0.4269,0.4269,2025-03-26 20:00:00
1869,37.4,38.4889,1.0889,1.0889,2025-03-26 21:00:00
1870,37.61,40.2898,2.6798,2.6798,2025-03-26 22:00:00
1871,31.66,30.7555,-0.9045,0.9045,2025-03-26 23:00:00
1872,32.27,31.2295,-1.0405,1.0405,2025-03-27 00:00:00
1873,30.57,28.0841,-2.4859,2.4859,2025-03-27 01:00:00
1874,27.7,25.5388,-2.1612,2.1612,2025-03-27 02:00:00
1875,26.8,22.729,-4.071,4.071,2025-03-27 03:00:00
1876,21.95,24.2746,2.3246,2.3246,2025-03-27 04:00:00
1877,24.74,29.7623,5.0223,5.0223,2025-03-27 05:00:00
1878,20.35,24.4133,4.0633,4.0633,2025-03-27 06:00:00
1879,19.32,15.7548,-3.5652,3.5652,2025-03-27 07:00:00
1880,18.19,20.5021,2.3121,2.3121,2025-03-27 08:00:00
1881,19.74,23.7953,4.0553,4.0553,2025-03-27 09:00:00
1882,22.41,21.768,-0.642,0.642,2025-03-27 10:00:00
1883,19.77,20.5236,0.7536,0.7536,2025-03-27 11:00:00
1884,22.36,17.8403,-4.5197,4.5197,2025-03-27 12:00:00
1885,25.66,26.8268,1.1668,1.1668,2025-03-27 13:00:00
1886,25.64,23.4811,-2.1589,2.1589,2025-03-27 14:00:00
1887,29.55,30.5491,0.9991,0.9991,2025-03-27 15:00:00
1888,32.82,29.417,-3.403,3.403,2025-03-27 16:00:00
1889,38.26,40.1171,1.8571,1.8571,2025-03-27 17:00:00
1890,38.32,41.3813,3.0613,3.0613,2025-03-27 18:00:00
1891,39.15,37.6921,-1.4579,1.4579,2025-03-27 19:00:00
1892,41.13,38.7877,-2.3423,2.3423,2025-03-27 20:00:00
1893,38.32,33.4299,-4.8901,4.8901,2025-03-27 21:00:00
1894,38.64,38.474,-0.166,0.166,2025-03-27 22:00:00
1895,35.82,34.866,-0.954,0.954,2025-03-27 23:00:00
1896,34.67,31.2925,-3.3775,3.3775,2025-03-28 00:00:00
1897,30.13,31.7625,1.6325,1.6325,2025-03-28 01:00:00
1898,22.91,22.2851,-0.6249,0.6249,2025-03-28 02:00:00
1899,26.08,23.8907,-2.1893,2.1893,2025-03-28 03:00:00
1900,27.56,26.6736,-0.8864,0.8864,2025-03-28 04:00:00
1901,24.25,27.4283,3.1783,3.1783,2025-03-28 05:00:00
1902,22.76,24.7673,2.0073,2.0073,2025-03-28 06:00:00
1903,64.57,64.7449,0.1749,0.1749,2025-03-28 07:00:00
1904,19.22,21.2678,2.0478,2.0478,2025-03-28 08:00:00
1905,19.84,17.4377,-2.4023,2.4023,2025-03-28 09:00:00
1906,18.8,19.3809,0.5809,0.5809,2025-03-28 10:00:00
1907,21.14,22.0083,0.8683,0.8683,2025-03-28 11:00:00
1908,25.54,24.8654,-0.6746,0.6746,2025-03-28 12:00:00
1909,72.15,73.7386,1.5886,1.5886,2025-03-28 13:00:00
1910,28.65,27.1989,-1.4511,1.4511,2025-03-28 14:00:00
1911,30.47,32.2446,1.7746,1.7746,2025-03-28 15:00:00
1912,34.0,35.8796,1.8796,1.8796,2025-03-28 16:00:00
1913,37.58,30.7871,-6.7929,6.7929,2025-03-28 17:00:00
1914,34.05,37.5258,3.4758,3.4758,2025-03-28 18:00:00
1915,32.92,25.8009,-7.1191,7.1191,2025-03-28 19:00:00
1916,37.63,36.5899,-1.0401,1.0401,2025-03-28 20:00:00
1917,72.14,75.2034,3.0634,3.0634,2025-03-28 21:00:00
1918,36.39,36.0968,-0.2932,0.2932,2025-03-28 22:00:00
1919,35.7,32.5345,-3.1655,3.1655,2025-03-28 23:00:00
1920,28.87,26.6357,-2.2343,2.2343,2025-03-29 00:00:00
1921,31.22,34.2873,3.0673,3.0673,2025-03-29 01:00:00
1922,25.82,21.5162,-4.3038,4.3038,2025-03-29 02:00:00
1923,23.16,26.4825,3.3225,3.3225,2025-03-29 03:00:00
1924,21.56,21.9222,0.3622,0.3622,2025-03-29 04:00:00
1925,15.08,12.599,-2.481,2.481,2025-03-29 05:00:00
1926,56.93,55.9722,-0.9578,0.9578,2025-03-29 06:00:00
1927,15.15,13.1069,-2.0431,2.0431,2025-03-29 07:00:00
1928,16.68,19.3456,2.6656,2.6656,2025-03-29 08:00:00
1929,12.66,14.9911,2.3311,2.3311,2025-03-29 09:00:00
1930,12.46,8.6621,-3.7979,3.7979,2025-03-29 10:00:00
1931,19.97,19.461,-0.509,0.509,2025-03-29 11:00:00
1932,20.94,19.282,-1.658,1.658,2025-03-29 12:00:00
1933,20.16,23.8938,3.7338,3.7338,2025-03-29 13:00:00
1934,22.83,19.9548,-2.8752,2.8752,2025-03-29 14:00:00
1935,30.4,34.9106,4.5106,4.5106,2025-03-29 15:00:00
1936,27.03,27.4468,0.4168,0.4168,2025-03-29 16:00:00
1937,36.18,33.7752,-2.4048,2.4048,2025-03-29 17:00:00
1938,31.41,30.2168,-1.1932,1.1932,2025-03-29 18:00:00
1939,112.99,111.486,-1.504,1.504,2025-03-29 19:00:00
1940,34.18,31.4935,-2.6865,2.6865,2025-03-29 20:00:00
1941,36.17,36.9071,0.7371,0.7371,2025-03-29 21:00:00
1942,32.3,29.7302,-2.5698,2.5698,2025-03-29 22:00:00
1943,31.66,26.7091,-4.9509,4.9509,2025-03-29 23:00:00
1944,30.1,29.6508,-0.4492,0.4492,2025-03-30 00:00:00
1945,25.08,21.0729,-4.0071,4.0071,2025-03-30 01:00:00
1946,26.85,25.4696,-1.3804,1.3804,2025-03-30 02:00:00
1947,21.13,19.3572,-1.7728,1.7728,2025-03-30 03:00:00
1948,19.43,17.752,-1.678,1.678,2025-03-30 04:00:00
1949,15.44,20.9424,5.5024,5.5024,2025-03-30 05:00:00
1950,9.93,10.571,0.641,0.641,2025-03-30 06:00:00
1951,14.86,15.9734,1.1134,1.1134,2025-03-30 07:00:00
1952,21.03,17.089,-3.941,3.941,2025-03-30 08:00:00
1953,17.3,16.1651,-1.1349,1.1349,2025-03-30 09:00:00
1954,16.29,17.3283,1.0383,1.0383,2025-03-30 10:00:00
1955,17.27,15.2087,-2.0613,2.0613,2025-03-30 11:00:00
1956,20.06,22.8302,2.7702,2.7702,2025-03-30 12:00:00
1957,23.78,21.2733,-2.5067,2.5067,2025-03-30 13:00:00
1958,22.05,21.8341,-0.2159,0.2159,2025-03-30 14:00:00
1959,30.37,29.4049,-0.9651,0.9651,2025-03-30 15:00:00
1960,31.79,32.7008,0.9108,0.9108,2025-03-30 16:00:00
1961,33.87,32.7688,-1.1012,1.1012,2025-03-30 17:00:00
1962,34.76,34.5828,-0.1772,0.1772,2025-03-30 18:00:00
1963,34.71,34.6197,-0.0903,0.0903,2025-03-30 19:00:00
1964,36.68,35.344,-1.336,1.336,2025-03-30 20:00:00
1965,36.14,37.8527,1.7127,1.7127,2025-03-30 21:00:00
1966,32.78,33.876,1.096,1.096,2025-03-30 22:00:00
1967,30.64,30.9185,0.2785,0.2785,2025-03-30 23:00:00
1968,34.26,33.6839,-0.5761,0.5761,2025-03-31 00:00:00
1969,35.46,37.9514,2.4914,2.4914,2025-03-31 01:00:00
1970,25.9,25.8104,-0.0896,0.0896,2025-03-31 02:00:00
1971,22.74,22.4733,-0.2667,0.2667,2025-03-31 03:00:00
1972,24.41,25.1717,0.7617,0.7617,2025-03-31 04:00:00
1973,22.06,26.8015,4.7415,4.7415,2025-03-31 05:00:00
1974,20.77,17.9191,-2.8509,2.8509,2025-03-31 06:00:00
1975,19.95,22.3746,2.4246,2.4246,2025-03-31 07:00:00
1976,18.44,14.2071,-4.2329,4.2329,2025-03-31 08:00:00
1977,23.07,24.1132,1.0432,1.0432,2025-03-31 09:00:00
1978,16.34,20.7777,4.4377,4.4377,2025-03-31 10:00:00
1979,19.86,21.5817,1.7217,1.7217,2025-03-31 11:00:00
1980,23.74,24.6666,0.9266,0.9266,2025-03-31 12:00:00
1981,136.61,135.7089,-0.9011,0.9011,2025-03-31 13:00:00
1982,28.56,29.1376,0.5776,0.5776,2025-03-31 14:00:00
1983,138.84,138.7098,-0.1302,0.1302,2025-03-31 15:00:00
1984,34.05,32.5851,-1.4649,1.4649,2025-03-31 16:00:00
1985,36.65,36.4253,-0.2247,0.2247,2025-03-31 17:00:00
1986,34.51,35.506,0.996,0.996,2025-03-31 18:00:00
1987,37.12,35.702,-1.418,1.418,2025-03-31 19:00:00
1988,38.06,36.5443,-1.5157,1.5157,2025-03-31 20:00:00
1989,37.87,34.9694,-2.9006,2.9006,2025-03-31 21:00:00
1990,40.87,42.3468,1.4768,1.4768,2025-03-31 22:00:00
